Config,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
Epoch:200-Neuron:220-Layers:1,0.675740796893835,79.51489,0.5028417793852179,80.67762756347656
Epoch:200-Neuron:200-Layers:1,0.7084824590981007,79.15818,0.5034695703411101,80.56491088867188
Epoch:200-Neuron:260-Layers:1,0.7708835277557373,79.07637,0.5036562264682009,80.51262969970703
Epoch:200-Neuron:180-Layers:1,0.6614079771339892,79.360085,0.5042572667194477,80.57144012451172
Epoch:200-Neuron:240-Layers:1,0.7472495715618134,79.12142,0.5049689738916506,80.67272491455078
Epoch:200-Neuron:260-Layers:2,0.9278728156983853,74.86871,0.5394895743193838,79.88369445800781
Epoch:200-Neuron:200-Layers:2,0.9192697341442108,72.69107,0.583866390105216,79.86897888183594
Epoch:200-Neuron:220-Layers:2,0.936048932671547,72.5234,0.5857175561998061,79.21391448974609
Epoch:200-Neuron:240-Layers:2,1.0542187143564223,65.569885,0.6637326631612778,72.63820037841796
Epoch:200-Neuron:180-Layers:2,1.0712661306858062,56.51413,0.8093022278996684,62.902556610107425
Epoch:200-Neuron:220-Layers:3,1.4153290661871434,40.13918,0.9895180845732785,42.77297172546387
Epoch:200-Neuron:240-Layers:3,1.4030038797855378,32.71575,1.093845367236506,36.2594051361084
Epoch:200-Neuron:260-Layers:3,1.6105708516836166,34.458626,1.0986024218531252,33.38778114318848
Epoch:200-Neuron:180-Layers:3,1.4306438020467758,32.13418,1.0986058193703183,38.96834831237793
Epoch:200-Neuron:200-Layers:3,1.349152608752251,33.884735,1.0986099508907132,33.22278900146485
